Character_1,Character_2,Win_Probability
558,11880,-1
4687,6887,-1
3954,6775,-1
1009,10302,0
6389,6454,-1
1553,10238,-1
7881,6387,-1
11934,9993,1
10035,9730,1
6093,746,1
8831,1357,0
2331,4074,1
7247,10277,1
177,168,-1
6140,848,1
11274,10312,-1
9894,10256,1
1199,1199,0
763,1490,1
6459,12033,-1
6459,1675,1
2883,2287,-1
4448,8098,-1
4448,5941,-1
11880,11724,-1
3277,11552,-1
4098,10312,1
6140,848,1
11274,10312,-1
4098,10312,1
7965,3927,-1
8086,4934,1
3277,4200,-1
2364,5711,1
574,8562,1
5872,456,-1
2927,6153,1
8379,9283,1
10819,4069,-1
6093,4049,1
5795,6454,1
4074,6454,-1
8613,6454,-1
4702,8931,1
6140,848,1
4702,8931,1
6254,3337,-1
9837,5278,-1
8714,4702,0
1851,12045,1
3423,4510,-1
11274,5821,1
2888,558,-1
10207,10363,-1
5922,5974,0
11096,6722,-1
7950,5727,1
6316,672,1
574,1553,1
9283,4009,-1
8901,7602,0
7001,12048,1
9236,12045,-1
6140,1846,1
684,1014,-1
1986,9521,-1
3411,3454,-1
6435,793,-1
2458,952,0
5576,5579,1
11320,11748,0
177,9577,-1
5579,10277,-1
6142,9485,0
9894,7649,1
4671,11760,-1
7939,11760,1
6093,8433,-1
7602,10519,1
1066,6660,1
2041,1846,-1
9457,1846,1
10238,9742,1
10274,4552,1
7766,10274,-1
9994,1531,1
169,6815,1
10302,5234,1
5880,2389,0
7445,1522,0
9978,689,0
2520,7251,1
2834,11816,1
5849,4701,1
5476,12045,-1
693,6093,1
10969,10277,-1
1851,5922,0
9734,5904,-1
4850,9060,0
5205,4850,-1
1914,10769,-1
4200,9998,0
10466,7066,-1
8086,8543,1
2184,7001,1
9734,1695,-1
1357,10918,1
5339,8104,-1
10238,9894,-1
7881,1553,1
169,7236,1
9059,8109,-1
6694,3927,-1
6694,3927,-1
4850,473,-1
4264,2041,-1
5207,11274,-1
1055,12051,-1
6811,8562,-1
5476,6811,0
4014,6008,-1
1357,6694,-1
1502,9236,1
7388,3337,1
3839,7602,1
184,9283,0
8379,11343,-1
574,2184,-1
2885,11274,1
2364,5800,-1
4900,4027,1
9059,1021,1
2300,1636,1
9875,8613,1
2945,3927,0
4850,4098,-1
11910,11910,1
4264,9383,-1
2900,3730,1
3839,3730,-1
4850,3730,-1
7388,5205,-1
6142,5981,1
3841,1386,-1
2184,4264,1
2364,3730,1
2578,7585,-1
7894,6811,-1
11343,8109,-1
8379,2873,0
574,5974,1
11910,11910,1
6887,9741,1
11343,1357,0
9236,11274,-1
8492,7672,-1
9795,3730,-1
11299,10969,-1
6681,7602,1
5119,12045,1
8757,6811,1
6887,12018,-1
1851,1055,1
2184,5988,1
7445,1055,-1
11343,7602,0
9875,6938,1
2888,1705,1
7717,1055,0
3368,3337,1
6140,10918,1
3730,9730,1
6721,5849,-1
6524,11910,-1
7066,12040,0
4074,1904,-1
6140,1321,1
4850,5336,1
2191,1055,-1
5904,456,1
8562,456,1
6811,456,-1
2873,6093,-1
2834,6153,1
574,11288,1
2755,12051,0
5981,10207,-1
4448,10207,-1
12045,10207,1
8086,10207,1
3878,10207,1
9236,10207,-1
4687,153,1
8757,11602,-1
9428,5288,1
4014,2899,-1
2184,4850,1
8415,1904,1
4850,9730,0
9265,7066,-1
4687,12018,-1
8613,5981,1
10935,9741,1
8562,10643,1
7762,10363,1
9060,1490,1
5974,10643,1
3277,616,-1
6524,6470,1
10689,6142,1
6153,10511,0
9017,12018,1
7236,10207,-1
6670,3993,1
2945,12018,-1
2367,11879,0
2883,11393,1
11063,6277,-1
8757,1055,1
9059,9974,1
5121,4229,1
8427,7106,1
8757,8980,1
10044,8985,1
9795,2458,-1
6316,3294,1
4780,10044,1
2888,2888,-1
7762,11374,-1
5589,222,1
11880,1498,1
10238,11348,1
10911,3667,1
10238,6093,1
1553,10363,1
11998,5046,-1
4448,5046,0
4552,5046,-1
7236,11318,1
10994,9875,0
10363,1417,1
9236,10363,1
7717,5821,1
7717,1907,1
7894,1907,-1
11910,6454,1
1281,6454,-1
5451,6454,-1
2888,6454,-1
169,6454,-1
4344,6454,-1
785,6454,-1
1851,6454,-1
2807,5965,1
2807,12018,0
4200,2553,0
4552,6454,-1
9059,6454,-1
558,9819,1
1009,10994,1
8247,867,-1
1490,11557,1
11910,9094,1
11274,6806,1
4098,3242,1
4098,3242,-1
11274,3242,-1
693,6454,-1
2191,7274,0
640,5395,-1
11631,9875,-1
7274,7960,1
11876,4763,-1
558,8124,1
7821,7751,1
8757,2888,-1
574,12018,-1
2340,8124,1
6142,10207,1
4074,9245,-1
1009,10302,0
2364,5711,1
5576,8613,1
3401,4820,1
9299,7388,1
8757,7274,1
8086,6660,-1
3878,3935,-1
7939,8124,1
11505,10663,1
4200,8931,1
5207,8104,0
9826,11943,-1
10458,9577,-1
9577,9414,1
2474,9577,-1
1357,7001,-1
4448,2582,-1
684,3566,1
4546,1014,-1
1022,9046,-1
2184,10849,-1
9998,4850,1
2184,1112,-1
11910,1460,-1
9457,1112,-1
1502,2890,-1
6389,6454,-1
10935,7946,-1
8613,9236,1
3340,4264,1
6733,10849,-1
9060,2430,1
5882,9060,1
672,8757,-1
3954,6775,-1
9522,4850,1
8974,3878,-1
8379,9283,1
7001,4200,1
4687,9741,1
2927,6153,1
5956,7001,-1
5872,456,-1
574,8562,1
2340,5904,1
324,6694,1
5795,6454,1
4074,6454,-1
8613,6454,-1
2885,1596,-1
8974,9795,-1
10238,10121,-1
10285,3881,-1
6093,4049,1
5907,4083,1
6454,6096,1
9730,7378,-1
5451,7865,1
10819,4069,-1
1553,8247,1
574,9236,-1
9894,10256,1
7247,10277,1
12045,5440,1
8831,11593,1
5907,4913,-1
2331,4074,1
1914,6454,-1
11274,2553,-1
8831,1357,0
6093,746,1
3839,9245,1
6093,9240,-1
763,2866,1
10035,9730,1
6138,9711,-1
131,4014,1
3419,4764,1
2340,6775,-1
8107,2807,1
7001,2041,-1
11880,3362,1
558,280,1
9494,7001,1
5451,11631,1
10302,10238,1
