,Character_1,Character_2,Win_Probability
0,11422,10242,-1
1,5579,1741,-1
2,11376,981,-1
3,8661,7042,0
4,11420,4349,-1
5,6502,7677,-1
6,3493,4058,-1
7,6245,157,1
8,10764,8943,1
9,11518,11304,1
10,3271,6394,0
11,4339,10122,1
12,1711,11889,1
13,6858,2104,-1
14,5132,85,1
15,6415,1816,-1
16,11675,5639,1
17,6862,6862,0
18,5397,619,1
19,6527,8368,-1
20,6527,514,1
21,7481,4125,-1
22,5057,2166,-1
23,5057,3879,-1
24,10242,4453,-1
25,2429,11244,-1
26,4314,1816,1
27,5132,85,1
28,6415,1816,-1
29,4314,1816,1
30,10998,8521,-1
31,2617,11297,1
32,2429,7836,-1
33,7104,1934,1
34,909,9737,1
35,1532,4013,-1
36,2474,11912,1
37,2771,8344,1
38,11161,5670,-1
39,11518,8481,1
40,7803,4349,1
41,10122,4349,-1
42,8536,4349,-1
43,6810,11655,1
44,5132,85,1
45,6810,11655,1
46,2286,6140,-1
47,6154,10597,-1
48,6063,6810,0
49,6409,6987,1
50,3739,31,-1
51,6415,6096,1
52,1276,11422,-1
53,11403,9938,-1
54,779,3319,0
55,1803,7258,-1
56,1238,6632,1
57,9283,8327,1
58,909,6502,1
59,8344,7106,-1
60,489,10263,0
61,4693,9098,1
62,2537,6987,-1
63,5132,1938,1
64,4346,6105,-1
65,2116,8672,-1
66,1057,9922,-1
67,11961,287,-1
68,112,11875,0
69,2657,11660,1
70,4648,6944,0
71,6858,2544,-1
72,11660,11889,-1
73,3598,2623,0
74,11675,5566,1
75,7180,4057,-1
76,882,4057,1
77,11518,2944,-1
78,10263,3262,1
79,8595,11285,1
80,6687,1938,-1
81,4713,1938,1
82,7677,3259,1
83,4100,7645,1
84,349,4100,-1
85,220,7727,1
86,11797,5979,1
87,7042,1537,1
88,3571,11767,0
89,653,4317,0
90,8070,11188,0
91,4251,3951,1
92,9054,3082,1
93,1949,5335,1
94,5899,6987,-1
95,11409,11518,1
96,540,11889,-1
97,6409,779,0
98,10594,11861,-1
99,7176,3069,0
100,11570,7176,-1
101,4810,5828,-1
102,7836,8955,0
103,10832,5052,-1
104,2617,6950,1
105,57,4693,1
106,10594,7709,-1
107,6394,2983,1
108,5512,9642,-1
109,7677,11675,-1
110,3493,6502,1
111,11797,1221,1
112,11031,1713,-1
113,11384,8521,-1
114,11384,8521,-1
115,7176,10252,-1
116,8089,6687,-1
117,6827,6415,-1
118,9349,9401,-1
119,8725,9737,-1
120,5899,8725,0
121,2075,1387,-1
122,6394,11384,-1
123,1703,2537,1
124,90,6140,1
125,11686,10263,1
126,4991,8344,0
127,2771,2229,-1
128,909,57,-1
129,11539,6415,1
130,7104,9403,-1
131,5108,10517,1
132,11031,4860,1
133,11956,7205,1
134,6347,8536,1
135,9222,8521,0
136,7176,4314,-1
137,869,869,1
138,8089,1281,-1
139,11147,80,1
140,11686,80,-1
141,7176,80,-1
142,90,11570,-1
143,3598,5848,1
144,3401,11288,-1
145,57,8089,1
146,7104,80,1
147,10730,11670,-1
